head,action,tail
sin(A),A = 180-X,sin(180-X) = sinX
cos(A),A = 180-X,cos(180-X) = -cosX
tan(A),A = 180-X,tan(180-X) = -tanX
cot(A) ,A = 180-X,cot(180-X) = -cotX
sec(A),A = 180-X,sec(180-X) = -secX
csc(A),A = 180-X,csc(180-X) = cscX
sin(A),A = 270-X,sin(270 - X) = -cosX
cos(A),A = 270-X,cos(270 - X) = -sinX
tan(A),A = 270-X,tan(270 - X) = cotX
cot(A) ,A = 270-X,cot(270 - X) = tanX
sec(A),A = 270-X,sec(270 - X) = -cscX
csc(A),A = 270-X,csc(270 - X) = -secX
sin(A+B),belongs to,sin(A+B) = sinAcosB+cosAsinB
sin(A-B),belongs to,sin(A-B) = sinAcosB-cosAsinB
cos(A+B),belongs to,cos(A+B) = cosAcosB - sinAsinB
cos(A-B),belongs to,cos(A-B) = cosAcosB + sinAsinB
tan(A+B),belongs to,tan(A+B) = (tanA + tanB)/(1-tanAtanB)
tan(A-B),belongs to,tan(A-B) = (tanA - tanB)/(1-tanAtanB)
sin(A),A = X+Y,sin(X+Y) = sinXcosY+cosXsinY
sin(A),A = X-Y,sin(X-Y) = sinXcosY-cosXsinY
cos(A),A = X+Y,cos(X+Y) = cosXcosY - sinXsinY
cos(A),A = X-Y,cos(X-Y) = cosXcosY + sinXsinY
tan(A),A = X+Y,tan(X+Y) = (tanX + tanY)/(1-tanXtanY)
tan(A),A = X-Y,tan(X-Y) = (tanX - tanY)/(1-tanXtanY)
sin(A)cos(B)+cos(A)sin(B),belongs to,sin(X+Y) = sinXcosY+cosXsinY
sin(A)cos(B)-cos(A)sin(B),belongs to,sin(X-Y) = sinXcosY-cosXsinY
cos(A)cos(B) - sin(A)sin(B),belongs to,cos(X+Y) = cosXcosY - sinXsinY
cos(A)cos(B) + sin(A)sin(B),belongs to,cos(X-Y) = cosXcosY + sinXsinY
(tan(A) + tan(B))/(1-tan(A)tan(B)),belongs to,tan(X+Y) = (tanX + tanY)/(1-tanXtanY)
(tan(A) - tan(B))/(1-tan(A)tan(B)),belongs to,tan(X-Y) = (tanX - tanY)/(1+tanXtanY)
asin(A) + bcos(A),belongs to,"maximum value of asinA + bcosA is \sqrt(a^2+b^2), minimum value of y is -sqrt(a^2+b^2)"
sin(A),A = 10,sin20=2sin10cos10=1/2(cos10-\sqrt(3)sin10)
cos(A),A = 10,sin20=2sin10cos10=1/2(cos10-\sqrt(3)sin10)
sin(A),A = 20,sin20=2sin10cos10=1/2(cos10-\sqrt(3)sin10)
Triangle,equilateral,"all sides are equal, all angles are equal to 60 degree"
sin(A),A = 18,sin18 = (\sqrt(5) - 1)/4
cos(A),A = 18,cos18 = \sqrt(10 + 2\sqrt(5))/4
sin(A),A = 36,sin36 = \sqrt(10 - 2\sqrt(5))/4
sin(A),A = 36,cos36 = (\sqrt(5) + 1)/4
ABC,area,Area of ABC = 1/2*ab*sinC where a and b can be any two sides and C is the included angle
ABC,side,a/sinA = b/sinB = c/sinC
ABC,side,a^2 = b^2 + c^2 -2bc*cosA
arithmetic sequence,defined by ,"For the number X, Y, Z which form an arithmetic sequence, then Y - X = Z - Y and 2Y = X + Z"
geometric sequence,defined by ,"For the number X, Y, Z which form an geometric sequence, then Y/X = Z/Y and Y^2 = X*Z"
tan(A),equals to,tan(A) = sin(A)/cos(A)
cot(A),equals to,cot(A) = cos(A)/sin(A)
csc(A),equals to,csc(A) = 1/sin(A)
sec(A),equals to,sec(A) = 1/cos(A)
